plan_id,plan_name,procedure_code,procedure_name
PPO_BASIC,PPO Basic,80053,Comprehensive metabolic panel
PPO_BASIC,PPO Basic,80061,Lipid panel
PPO_BASIC,PPO Basic,85025,Complete blood count (CBC)
PPO_BASIC,PPO Basic,90686,Influenza vaccine
PPO_BASIC,PPO Basic,90715,Tdap vaccine
PPO_BASIC,PPO Basic,93000,"Electrocardiogram, routine ECG"
PPO_BASIC,PPO Basic,93010,ECG interpretation/report only
PPO_BASIC,PPO Basic,99203,"Office/outpatient visit, new patient"
PPO_BASIC,PPO Basic,99213,"Office/outpatient visit, established patient"
PPO_BASIC,PPO Basic,99214,"Office/outpatient visit, established patient (moderate)"
PPO_BASIC,PPO Basic,99284,Emergency department visit
PPO_BASIC,PPO Basic,A0425,"Ambulance service, mileage"
PPO_BASIC,PPO Basic,A0429,"Ambulance service, basic life support"
PPO_BASIC,PPO Basic,J3490,Unclassified drugs (HCPCS)
PPO_PLUS,PPO Plus,36415,Venipuncture
PPO_PLUS,PPO Plus,45378,Diagnostic colonoscopy
PPO_PLUS,PPO Plus,71046,"Chest X-ray, 2 views"
PPO_PLUS,PPO Plus,73502,"X-ray, hip"
PPO_PLUS,PPO Plus,77067,Screening mammography
PPO_PLUS,PPO Plus,80053,Comprehensive metabolic panel
PPO_PLUS,PPO Plus,80061,Lipid panel
PPO_PLUS,PPO Plus,85025,Complete blood count (CBC)
PPO_PLUS,PPO Plus,90686,Influenza vaccine
PPO_PLUS,PPO Plus,90715,Tdap vaccine
PPO_PLUS,PPO Plus,93000,"Electrocardiogram, routine ECG"
PPO_PLUS,PPO Plus,93010,ECG interpretation/report only
PPO_PLUS,PPO Plus,99203,"Office/outpatient visit, new patient"
PPO_PLUS,PPO Plus,99213,"Office/outpatient visit, established patient"
PPO_PLUS,PPO Plus,99214,"Office/outpatient visit, established patient (moderate)"
PPO_PLUS,PPO Plus,99284,Emergency department visit
PPO_PLUS,PPO Plus,A0425,"Ambulance service, mileage"
PPO_PLUS,PPO Plus,A0429,"Ambulance service, basic life support"
PPO_PLUS,PPO Plus,G0402,Welcome to Medicare preventive visit
PPO_PLUS,PPO Plus,J3490,Unclassified drugs (HCPCS)
